Date,MonthDay,FL,Race
2008-08-18,18-Aug,189,S
2008-08-19,19-Aug,189,S
2008-08-20,20-Aug,189,S
2008-08-21,21-Aug,189,S
2008-08-22,22-Aug,189,S
2008-08-23,23-Aug,189,S
2008-08-24,24-Aug,189,F
2008-08-25,25-Aug,189,F
2008-08-26,26-Aug,189,F
2008-08-27,27-Aug,189,F
2008-08-28,28-Aug,189,F
2008-08-29,29-Aug,189,F
2008-08-30,30-Aug,189,F
2008-08-31,31-Aug,189,F
2008-09-01,1-Sep,189,F
2008-09-02,2-Sep,189,F
2008-09-03,3-Sep,189,F
2008-09-04,4-Sep,189,F
2008-09-05,5-Sep,189,F
2008-09-06,6-Sep,189,F
2008-09-07,7-Sep,189,F
2008-09-08,8-Sep,189,F
2008-09-09,9-Sep,189,F
2008-09-10,10-Sep,189,F
2008-09-11,11-Sep,189,F
2008-09-12,12-Sep,189,F
2008-09-13,13-Sep,189,F
2008-09-14,14-Sep,189,F
2008-09-15,15-Sep,189,F
2008-09-16,16-Sep,189,F
2008-09-17,17-Sep,189,F
2008-09-18,18-Sep,189,F
2008-09-19,19-Sep,189,F
2008-09-20,20-Sep,189,F
2008-09-21,21-Sep,189,F
2008-09-22,22-Sep,189,F
2008-09-23,23-Sep,189,F
2008-09-24,24-Sep,189,F
2008-09-25,25-Sep,189,F
2008-09-26,26-Sep,189,F
2008-09-27,27-Sep,189,F
2008-09-28,28-Sep,189,F
2008-09-29,29-Sep,189,F
2008-09-30,30-Sep,189,F
2008-10-01,1-Oct,189,F
2008-10-02,2-Oct,189,F
2008-10-03,3-Oct,189,F
2008-10-04,4-Oct,189,F
2008-10-05,5-Oct,189,F
2008-10-06,6-Oct,189,F
2008-10-07,7-Oct,189,F
2008-10-08,8-Oct,189,F
2008-10-09,9-Oct,189,F
2008-10-10,10-Oct,189,F
2008-10-11,11-Oct,189,F
2008-10-12,12-Oct,189,F
2008-10-13,13-Oct,189,F
2008-10-14,14-Oct,189,F
2008-10-15,15-Oct,189,F
2008-10-16,16-Oct,189,F
2008-10-17,17-Oct,189,F
2008-10-18,18-Oct,189,F
2008-10-19,19-Oct,189,F
2008-10-20,20-Oct,189,F
2008-10-21,21-Oct,189,F
2008-10-22,22-Oct,189,F
2008-10-23,23-Oct,189,F
2008-10-24,24-Oct,189,F
2008-10-25,25-Oct,189,F
2008-10-26,26-Oct,189,F
2008-10-27,27-Oct,189,F
2008-10-28,28-Oct,189,F
2008-10-29,29-Oct,189,F
2008-10-30,30-Oct,189,F
2008-10-31,31-Oct,189,F
2008-11-01,1-Nov,189,F
2008-11-02,2-Nov,189,F
2008-11-03,3-Nov,189,F
2008-11-04,4-Nov,189,F
2008-11-05,5-Nov,189,F
2008-11-06,6-Nov,189,F
2008-11-07,7-Nov,189,F
2008-11-08,8-Nov,189,F
2008-11-09,9-Nov,189,F
2008-11-10,10-Nov,189,F
2008-11-11,11-Nov,189,F
2008-11-12,12-Nov,189,F
2008-11-13,13-Nov,189,F
2008-11-14,14-Nov,189,F
2008-11-15,15-Nov,189,F
2008-11-16,16-Nov,189,F
2008-11-17,17-Nov,189,F
2008-11-18,18-Nov,189,F
2008-11-19,19-Nov,189,F
2008-11-20,20-Nov,189,F
2008-11-21,21-Nov,189,F
2008-11-22,22-Nov,189,F
2008-11-23,23-Nov,189,F
2008-11-24,24-Nov,189,F
2008-11-25,25-Nov,189,F
2008-11-26,26-Nov,189,F
2008-11-27,27-Nov,189,F
2008-11-28,28-Nov,189,F
2008-11-29,29-Nov,189,F
2008-11-30,30-Nov,189,F
2008-12-01,1-Dec,189,F
2008-12-02,2-Dec,189,F
2008-12-03,3-Dec,189,F
2008-12-04,4-Dec,189,F
2008-12-05,5-Dec,189,F
2008-12-06,6-Dec,189,F
2008-12-07,7-Dec,189,F
2008-12-08,8-Dec,189,F
2008-12-09,9-Dec,189,F
2008-12-10,10-Dec,189,F
2008-12-11,11-Dec,189,F
2008-12-12,12-Dec,189,F
2008-12-13,13-Dec,189,F
2008-12-14,14-Dec,189,F
2008-12-15,15-Dec,189,F
2008-12-16,16-Dec,189,F
2008-12-17,17-Dec,189,F
2008-12-18,18-Dec,189,F
2008-12-19,19-Dec,189,F
2008-12-20,20-Dec,189,F
2008-12-21,21-Dec,189,F
2008-12-22,22-Dec,189,F
2008-12-23,23-Dec,189,LF
2008-12-24,24-Dec,189,LF
2008-12-25,25-Dec,189,LF
2008-12-26,26-Dec,189,LF
2008-12-27,27-Dec,189,LF
2008-12-28,28-Dec,189,LF
2008-12-29,29-Dec,189,LF
2008-12-30,30-Dec,189,LF
2008-12-31,31-Dec,189,LF
2008-01-01,1-Jan,190,LF
2008-01-02,2-Jan,190,LF
2008-01-03,3-Jan,190,LF
2008-01-04,4-Jan,190,LF
2008-01-05,5-Jan,190,LF
2008-01-06,6-Jan,190,LF
2008-01-07,7-Jan,190,LF
2008-01-08,8-Jan,190,LF
2008-01-09,9-Jan,190,LF
2008-01-10,10-Jan,190,LF
2008-01-11,11-Jan,190,LF
2008-01-12,12-Jan,190,LF
2008-01-13,13-Jan,190,LF
2008-01-14,14-Jan,190,LF
2008-01-15,15-Jan,190,LF
2008-01-16,16-Jan,190,LF
2008-01-17,17-Jan,190,LF
2008-01-18,18-Jan,190,LF
2008-01-19,19-Jan,190,LF
2008-01-20,20-Jan,190,LF
2008-01-21,21-Jan,190,LF
2008-01-22,22-Jan,190,LF
2008-01-23,23-Jan,190,LF
2008-01-24,24-Jan,190,LF
2008-01-25,25-Jan,190,LF
2008-01-26,26-Jan,190,W
2008-01-27,27-Jan,190,W
2008-01-28,28-Jan,190,W
2008-01-29,29-Jan,190,W
2008-01-30,30-Jan,190,W
2008-01-31,31-Jan,190,W
2008-02-01,1-Feb,190,W
2008-02-02,2-Feb,190,W
2008-02-03,3-Feb,190,W
2008-02-04,4-Feb,190,W
2008-02-05,5-Feb,190,W
2008-02-06,6-Feb,190,W
2008-02-07,7-Feb,190,W
2008-02-08,8-Feb,190,W
2008-02-09,9-Feb,190,W
2008-02-10,10-Feb,190,W
2008-02-11,11-Feb,190,W
2008-02-12,12-Feb,190,W
2008-02-13,13-Feb,190,W
2008-02-14,14-Feb,190,W
2008-02-15,15-Feb,190,W
2008-02-16,16-Feb,190,W
2008-02-17,17-Feb,190,W
2008-02-18,18-Feb,190,W
2008-02-19,19-Feb,190,W
2008-02-20,20-Feb,190,W
2008-02-21,21-Feb,190,W
2008-02-22,22-Feb,190,W
2008-02-23,23-Feb,190,W
2008-02-24,24-Feb,190,W
2008-02-25,25-Feb,190,W
2008-02-26,26-Feb,190,W
2008-02-27,27-Feb,190,W
2008-02-28,28-Feb,190,W
2008-02-29,29-Feb,190,W
2008-03-01,1-Mar,190,W
2008-03-02,2-Mar,190,W
2008-03-03,3-Mar,190,W
2008-03-04,4-Mar,190,W
2008-03-05,5-Mar,190,W
2008-03-06,6-Mar,190,W
2008-03-07,7-Mar,190,W
2008-03-08,8-Mar,190,W
2008-03-09,9-Mar,190,W
2008-03-10,10-Mar,190,W
2008-03-11,11-Mar,190,W
2008-03-12,12-Mar,190,W
2008-03-13,13-Mar,190,W
2008-03-14,14-Mar,190,W
2008-03-15,15-Mar,190,W
2008-03-16,16-Mar,190,W
2008-03-17,17-Mar,190,W
2008-03-18,18-Mar,190,W
2008-03-19,19-Mar,190,W
2008-03-20,20-Mar,190,W
2008-03-21,21-Mar,190,W
2008-03-22,22-Mar,190,W
2008-03-23,23-Mar,190,W
2008-03-24,24-Mar,190,W
2008-03-25,25-Mar,190,W
2008-03-26,26-Mar,190,W
2008-03-27,27-Mar,190,W
2008-03-28,28-Mar,190,W
2008-03-29,29-Mar,190,W
2008-03-30,30-Mar,190,W
2008-03-31,31-Mar,190,W
2008-04-01,1-Apr,190,W
2008-04-02,2-Apr,190,W
2008-04-03,3-Apr,190,W
2008-04-04,4-Apr,190,W
2008-04-05,5-Apr,190,W
2008-04-06,6-Apr,190,W
2008-04-07,7-Apr,190,W
2008-04-08,8-Apr,190,W
2008-04-09,9-Apr,190,W
2008-04-10,10-Apr,190,W
2008-04-11,11-Apr,190,W
2008-04-12,12-Apr,190,W
2008-04-13,13-Apr,190,W
2008-04-14,14-Apr,190,W
2008-04-15,15-Apr,190,W
2008-04-16,16-Apr,190,W
2008-04-17,17-Apr,190,W
2008-04-18,18-Apr,190,W
2008-04-19,19-Apr,190,W
2008-04-20,20-Apr,190,W
2008-04-21,21-Apr,190,W
2008-04-22,22-Apr,190,W
2008-04-23,23-Apr,190,W
2008-04-24,24-Apr,190,W
2008-04-25,25-Apr,190,W
2008-04-26,26-Apr,190,W
2008-04-27,27-Apr,190,W
2008-04-28,28-Apr,190,W
2008-04-29,29-Apr,190,W
2008-04-30,30-Apr,190,W
2008-05-01,1-May,190,W
2008-05-02,2-May,190,W
2008-05-03,3-May,190,W
2008-05-04,4-May,190,W
2008-05-05,5-May,190,W
2008-05-06,6-May,190,W
2008-05-07,7-May,190,W
2008-05-08,8-May,190,W
2008-05-09,9-May,190,W
2008-05-10,10-May,190,W
2008-05-11,11-May,190,W
2008-05-12,12-May,190,W
2008-05-13,13-May,190,W
2008-05-14,14-May,190,W
2008-05-15,15-May,190,W
2008-05-16,16-May,190,W
2008-05-17,17-May,190,W
2008-05-18,18-May,190,W
2008-05-19,19-May,190,W
2008-05-20,20-May,190,W
2008-05-21,21-May,190,W
2008-05-22,22-May,190,W
2008-05-23,23-May,190,W
2008-05-24,24-May,190,W
2008-05-25,25-May,190,W
2008-05-26,26-May,190,W
2008-05-27,27-May,190,S
2008-05-28,28-May,190,S
2008-05-29,29-May,190,S
2008-05-30,30-May,190,S
2008-05-31,31-May,190,S
2008-06-01,1-Jun,190,S
2008-06-02,2-Jun,190,S
2008-06-03,3-Jun,190,S
2008-06-04,4-Jun,190,S
2008-06-05,5-Jun,190,S
2008-06-06,6-Jun,190,S
2008-06-07,7-Jun,190,S
2008-06-08,8-Jun,190,S
2008-06-09,9-Jun,190,S
2008-06-10,10-Jun,190,S
2008-06-11,11-Jun,190,S
2008-06-12,12-Jun,190,S
2008-06-13,13-Jun,190,S
2008-06-14,14-Jun,190,S
2008-06-15,15-Jun,190,S
2008-06-16,16-Jun,190,S
2008-06-17,17-Jun,190,S
2008-06-18,18-Jun,190,S
2008-06-19,19-Jun,190,S
2008-06-20,20-Jun,190,S
2008-06-21,21-Jun,190,S
2008-06-22,22-Jun,190,S
2008-06-23,23-Jun,190,S
2008-06-24,24-Jun,190,S
2008-06-25,25-Jun,190,S
2008-06-26,26-Jun,190,S
2008-06-27,27-Jun,190,S
2008-06-28,28-Jun,190,S
2008-06-29,29-Jun,190,S
2008-06-30,30-Jun,190,S
2008-07-01,1-Jul,190,S
2008-07-02,2-Jul,190,S
2008-07-03,3-Jul,190,S
2008-07-04,4-Jul,190,S
2008-07-05,5-Jul,190,S
2008-07-06,6-Jul,190,S
2008-07-07,7-Jul,190,S
2008-07-08,8-Jul,190,S
2008-07-09,9-Jul,190,S
2008-07-10,10-Jul,190,S
2008-07-11,11-Jul,190,S
2008-07-12,12-Jul,190,S
2008-07-13,13-Jul,190,S
2008-07-14,14-Jul,190,S
2008-07-15,15-Jul,190,S
2008-07-16,16-Jul,190,S
2008-07-17,17-Jul,190,S
2008-07-18,18-Jul,190,S
2008-07-19,19-Jul,190,S
2008-07-20,20-Jul,190,S
2008-07-21,21-Jul,190,S
2008-07-22,22-Jul,190,S
2008-07-23,23-Jul,190,S
2008-07-24,24-Jul,190,S
2008-07-25,25-Jul,190,S
2008-07-26,26-Jul,190,S
2008-07-27,27-Jul,190,S
2008-07-28,28-Jul,190,S
2008-07-29,29-Jul,190,S
2008-07-30,30-Jul,190,S
2008-07-31,31-Jul,190,S
2008-08-01,1-Aug,190,S
2008-08-02,2-Aug,190,S
2008-08-03,3-Aug,190,S
2008-08-04,4-Aug,190,S
2008-08-05,5-Aug,190,S
2008-08-06,6-Aug,190,S
2008-08-07,7-Aug,190,S
2008-08-08,8-Aug,190,S
2008-08-09,9-Aug,190,S
2008-08-10,10-Aug,190,S
2008-08-11,11-Aug,190,S
2008-08-12,12-Aug,190,S
2008-08-13,13-Aug,190,S
2008-08-14,14-Aug,190,S
2008-08-15,15-Aug,190,S
2008-08-16,16-Aug,190,S
2008-08-17,17-Aug,190,S
2008-08-18,18-Aug,190,S
2008-08-19,19-Aug,190,S
2008-08-20,20-Aug,190,S
2008-08-21,21-Aug,190,S
2008-08-22,22-Aug,190,S
2008-08-23,23-Aug,190,S
2008-08-24,24-Aug,190,S
2008-08-25,25-Aug,190,F
2008-08-26,26-Aug,190,F
2008-08-27,27-Aug,190,F
2008-08-28,28-Aug,190,F
2008-08-29,29-Aug,190,F
2008-08-30,30-Aug,190,F
2008-08-31,31-Aug,190,F
2008-09-01,1-Sep,190,F
2008-09-02,2-Sep,190,F
2008-09-03,3-Sep,190,F
2008-09-04,4-Sep,190,F
2008-09-05,5-Sep,190,F
2008-09-06,6-Sep,190,F
2008-09-07,7-Sep,190,F
2008-09-08,8-Sep,190,F
2008-09-09,9-Sep,190,F
2008-09-10,10-Sep,190,F
2008-09-11,11-Sep,190,F
2008-09-12,12-Sep,190,F
2008-09-13,13-Sep,190,F
2008-09-14,14-Sep,190,F
2008-09-15,15-Sep,190,F
2008-09-16,16-Sep,190,F
2008-09-17,17-Sep,190,F
2008-09-18,18-Sep,190,F
2008-09-19,19-Sep,190,F
2008-09-20,20-Sep,190,F
2008-09-21,21-Sep,190,F
2008-09-22,22-Sep,190,F
2008-09-23,23-Sep,190,F
2008-09-24,24-Sep,190,F
2008-09-25,25-Sep,190,F
2008-09-26,26-Sep,190,F
2008-09-27,27-Sep,190,F
2008-09-28,28-Sep,190,F
2008-09-29,29-Sep,190,F
2008-09-30,30-Sep,190,F
2008-10-01,1-Oct,190,F
2008-10-02,2-Oct,190,F
2008-10-03,3-Oct,190,F
2008-10-04,4-Oct,190,F
2008-10-05,5-Oct,190,F
2008-10-06,6-Oct,190,F
2008-10-07,7-Oct,190,F
2008-10-08,8-Oct,190,F
2008-10-09,9-Oct,190,F
2008-10-10,10-Oct,190,F
2008-10-11,11-Oct,190,F
2008-10-12,12-Oct,190,F
2008-10-13,13-Oct,190,F
2008-10-14,14-Oct,190,F
2008-10-15,15-Oct,190,F
2008-10-16,16-Oct,190,F
2008-10-17,17-Oct,190,F
2008-10-18,18-Oct,190,F
2008-10-19,19-Oct,190,F
2008-10-20,20-Oct,190,F
2008-10-21,21-Oct,190,F
2008-10-22,22-Oct,190,F
2008-10-23,23-Oct,190,F
2008-10-24,24-Oct,190,F
2008-10-25,25-Oct,190,F
2008-10-26,26-Oct,190,F
2008-10-27,27-Oct,190,F
2008-10-28,28-Oct,190,F
2008-10-29,29-Oct,190,F
2008-10-30,30-Oct,190,F
2008-10-31,31-Oct,190,F
2008-11-01,1-Nov,190,F
2008-11-02,2-Nov,190,F
2008-11-03,3-Nov,190,F
2008-11-04,4-Nov,190,F
2008-11-05,5-Nov,190,F
2008-11-06,6-Nov,190,F
2008-11-07,7-Nov,190,F
2008-11-08,8-Nov,190,F
2008-11-09,9-Nov,190,F
2008-11-10,10-Nov,190,F
2008-11-11,11-Nov,190,F
2008-11-12,12-Nov,190,F
2008-11-13,13-Nov,190,F
2008-11-14,14-Nov,190,F
2008-11-15,15-Nov,190,F
2008-11-16,16-Nov,190,F
2008-11-17,17-Nov,190,F
2008-11-18,18-Nov,190,F
2008-11-19,19-Nov,190,F
2008-11-20,20-Nov,190,F
2008-11-21,21-Nov,190,F
2008-11-22,22-Nov,190,F
2008-11-23,23-Nov,190,F
2008-11-24,24-Nov,190,F
2008-11-25,25-Nov,190,F
2008-11-26,26-Nov,190,F
2008-11-27,27-Nov,190,F
2008-11-28,28-Nov,190,F
2008-11-29,29-Nov,190,F
2008-11-30,30-Nov,190,F
2008-12-01,1-Dec,190,F
2008-12-02,2-Dec,190,F
2008-12-03,3-Dec,190,F
2008-12-04,4-Dec,190,F
2008-12-05,5-Dec,190,F
2008-12-06,6-Dec,190,F
2008-12-07,7-Dec,190,F
2008-12-08,8-Dec,190,F
2008-12-09,9-Dec,190,F
2008-12-10,10-Dec,190,F
2008-12-11,11-Dec,190,F
2008-12-12,12-Dec,190,F
2008-12-13,13-Dec,190,F
2008-12-14,14-Dec,190,F
2008-12-15,15-Dec,190,F
2008-12-16,16-Dec,190,F
2008-12-17,17-Dec,190,F
2008-12-18,18-Dec,190,F
2008-12-19,19-Dec,190,F
2008-12-20,20-Dec,190,F
2008-12-21,21-Dec,190,F
2008-12-22,22-Dec,190,F
2008-12-23,23-Dec,190,F
2008-12-24,24-Dec,190,LF
2008-12-25,25-Dec,190,LF
2008-12-26,26-Dec,190,LF
2008-12-27,27-Dec,190,LF
2008-12-28,28-Dec,190,LF
2008-12-29,29-Dec,190,LF
2008-12-30,30-Dec,190,LF
2008-12-31,31-Dec,190,LF
2008-01-01,1-Jan,191,LF
2008-01-02,2-Jan,191,LF
2008-01-03,3-Jan,191,LF
2008-01-04,4-Jan,191,LF
2008-01-05,5-Jan,191,LF
2008-01-06,6-Jan,191,LF
2008-01-07,7-Jan,191,LF
2008-01-08,8-Jan,191,LF
2008-01-09,9-Jan,191,LF
2008-01-10,10-Jan,191,LF
2008-01-11,11-Jan,191,LF
2008-01-12,12-Jan,191,LF
2008-01-13,13-Jan,191,LF
2008-01-14,14-Jan,191,LF
2008-01-15,15-Jan,191,LF
2008-01-16,16-Jan,191,LF
2008-01-17,17-Jan,191,LF
2008-01-18,18-Jan,191,LF
2008-01-19,19-Jan,191,LF
2008-01-20,20-Jan,191,LF
2008-01-21,21-Jan,191,LF
2008-01-22,22-Jan,191,LF
2008-01-23,23-Jan,191,LF
2008-01-24,24-Jan,191,LF
2008-01-25,25-Jan,191,LF
2008-01-26,26-Jan,191,LF
2008-01-27,27-Jan,191,W
2008-01-28,28-Jan,191,W
2008-01-29,29-Jan,191,W
2008-01-30,30-Jan,191,W
2008-01-31,31-Jan,191,W
2008-02-01,1-Feb,191,W
2008-02-02,2-Feb,191,W
2008-02-03,3-Feb,191,W
2008-02-04,4-Feb,191,W
2008-02-05,5-Feb,191,W
2008-02-06,6-Feb,191,W
2008-02-07,7-Feb,191,W
2008-02-08,8-Feb,191,W
2008-02-09,9-Feb,191,W
2008-02-10,10-Feb,191,W
2008-02-11,11-Feb,191,W
2008-02-12,12-Feb,191,W
2008-02-13,13-Feb,191,W
2008-02-14,14-Feb,191,W
2008-02-15,15-Feb,191,W
2008-02-16,16-Feb,191,W
2008-02-17,17-Feb,191,W
2008-02-18,18-Feb,191,W
2008-02-19,19-Feb,191,W
2008-02-20,20-Feb,191,W
2008-02-21,21-Feb,191,W
2008-02-22,22-Feb,191,W
2008-02-23,23-Feb,191,W
2008-02-24,24-Feb,191,W
2008-02-25,25-Feb,191,W
2008-02-26,26-Feb,191,W
2008-02-27,27-Feb,191,W
2008-02-28,28-Feb,191,W
2008-02-29,29-Feb,191,W
2008-03-01,1-Mar,191,W
2008-03-02,2-Mar,191,W
2008-03-03,3-Mar,191,W
2008-03-04,4-Mar,191,W
2008-03-05,5-Mar,191,W
2008-03-06,6-Mar,191,W
2008-03-07,7-Mar,191,W
2008-03-08,8-Mar,191,W
2008-03-09,9-Mar,191,W
2008-03-10,10-Mar,191,W
2008-03-11,11-Mar,191,W
2008-03-12,12-Mar,191,W
2008-03-13,13-Mar,191,W
2008-03-14,14-Mar,191,W
2008-03-15,15-Mar,191,W
2008-03-16,16-Mar,191,W
2008-03-17,17-Mar,191,W
2008-03-18,18-Mar,191,W
2008-03-19,19-Mar,191,W
2008-03-20,20-Mar,191,W
2008-03-21,21-Mar,191,W
2008-03-22,22-Mar,191,W
2008-03-23,23-Mar,191,W
2008-03-24,24-Mar,191,W
2008-03-25,25-Mar,191,W
2008-03-26,26-Mar,191,W
2008-03-27,27-Mar,191,W
2008-03-28,28-Mar,191,W
2008-03-29,29-Mar,191,W
2008-03-30,30-Mar,191,W
2008-03-31,31-Mar,191,W
2008-04-01,1-Apr,191,W
2008-04-02,2-Apr,191,W
2008-04-03,3-Apr,191,W
2008-04-04,4-Apr,191,W
2008-04-05,5-Apr,191,W
2008-04-06,6-Apr,191,W
2008-04-07,7-Apr,191,W
2008-04-08,8-Apr,191,W
2008-04-09,9-Apr,191,W
2008-04-10,10-Apr,191,W
2008-04-11,11-Apr,191,W
2008-04-12,12-Apr,191,W
2008-04-13,13-Apr,191,W
2008-04-14,14-Apr,191,W
2008-04-15,15-Apr,191,W
2008-04-16,16-Apr,191,W
2008-04-17,17-Apr,191,W
2008-04-18,18-Apr,191,W
2008-04-19,19-Apr,191,W
2008-04-20,20-Apr,191,W
2008-04-21,21-Apr,191,W
2008-04-22,22-Apr,191,W
2008-04-23,23-Apr,191,W
2008-04-24,24-Apr,191,W
2008-04-25,25-Apr,191,W
2008-04-26,26-Apr,191,W
2008-04-27,27-Apr,191,W
2008-04-28,28-Apr,191,W
2008-04-29,29-Apr,191,W
2008-04-30,30-Apr,191,W
2008-05-01,1-May,191,W
2008-05-02,2-May,191,W
2008-05-03,3-May,191,W
2008-05-04,4-May,191,W
2008-05-05,5-May,191,W
2008-05-06,6-May,191,W
2008-05-07,7-May,191,W
2008-05-08,8-May,191,W
2008-05-09,9-May,191,W
2008-05-10,10-May,191,W
2008-05-11,11-May,191,W
2008-05-12,12-May,191,W
2008-05-13,13-May,191,W
2008-05-14,14-May,191,W
2008-05-15,15-May,191,W
2008-05-16,16-May,191,W
2008-05-17,17-May,191,W
2008-05-18,18-May,191,W
2008-05-19,19-May,191,W
2008-05-20,20-May,191,W
2008-05-21,21-May,191,W
2008-05-22,22-May,191,W
2008-05-23,23-May,191,W
2008-05-24,24-May,191,W
2008-05-25,25-May,191,W
2008-05-26,26-May,191,W
2008-05-27,27-May,191,S
2008-05-28,28-May,191,S
2008-05-29,29-May,191,S
2008-05-30,30-May,191,S
2008-05-31,31-May,191,S
2008-06-01,1-Jun,191,S
2008-06-02,2-Jun,191,S
2008-06-03,3-Jun,191,S
2008-06-04,4-Jun,191,S
2008-06-05,5-Jun,191,S
2008-06-06,6-Jun,191,S
2008-06-07,7-Jun,191,S
2008-06-08,8-Jun,191,S
2008-06-09,9-Jun,191,S
2008-06-10,10-Jun,191,S
2008-06-11,11-Jun,191,S
2008-06-12,12-Jun,191,S
2008-06-13,13-Jun,191,S
2008-06-14,14-Jun,191,S
2008-06-15,15-Jun,191,S
2008-06-16,16-Jun,191,S
2008-06-17,17-Jun,191,S
2008-06-18,18-Jun,191,S
2008-06-19,19-Jun,191,S
2008-06-20,20-Jun,191,S
2008-06-21,21-Jun,191,S
2008-06-22,22-Jun,191,S
2008-06-23,23-Jun,191,S
2008-06-24,24-Jun,191,S
2008-06-25,25-Jun,191,S
2008-06-26,26-Jun,191,S
2008-06-27,27-Jun,191,S
2008-06-28,28-Jun,191,S
2008-06-29,29-Jun,191,S
2008-06-30,30-Jun,191,S
2008-07-01,1-Jul,191,S
2008-07-02,2-Jul,191,S
2008-07-03,3-Jul,191,S
2008-07-04,4-Jul,191,S
2008-07-05,5-Jul,191,S
2008-07-06,6-Jul,191,S
2008-07-07,7-Jul,191,S
2008-07-08,8-Jul,191,S
2008-07-09,9-Jul,191,S
2008-07-10,10-Jul,191,S
2008-07-11,11-Jul,191,S
2008-07-12,12-Jul,191,S
2008-07-13,13-Jul,191,S
2008-07-14,14-Jul,191,S
2008-07-15,15-Jul,191,S
2008-07-16,16-Jul,191,S
2008-07-17,17-Jul,191,S
2008-07-18,18-Jul,191,S
2008-07-19,19-Jul,191,S
2008-07-20,20-Jul,191,S
2008-07-21,21-Jul,191,S
2008-07-22,22-Jul,191,S
2008-07-23,23-Jul,191,S
2008-07-24,24-Jul,191,S
2008-07-25,25-Jul,191,S
2008-07-26,26-Jul,191,S
2008-07-27,27-Jul,191,S
2008-07-28,28-Jul,191,S
2008-07-29,29-Jul,191,S
2008-07-30,30-Jul,191,S
2008-07-31,31-Jul,191,S
2008-08-01,1-Aug,191,S
2008-08-02,2-Aug,191,S
2008-08-03,3-Aug,191,S
2008-08-04,4-Aug,191,S
2008-08-05,5-Aug,191,S
2008-08-06,6-Aug,191,S
2008-08-07,7-Aug,191,S
2008-08-08,8-Aug,191,S
2008-08-09,9-Aug,191,S
2008-08-10,10-Aug,191,S
2008-08-11,11-Aug,191,S
2008-08-12,12-Aug,191,S
2008-08-13,13-Aug,191,S
2008-08-14,14-Aug,191,S
2008-08-15,15-Aug,191,S
2008-08-16,16-Aug,191,S
2008-08-17,17-Aug,191,S
2008-08-18,18-Aug,191,S
2008-08-19,19-Aug,191,S
2008-08-20,20-Aug,191,S
2008-08-21,21-Aug,191,S
2008-08-22,22-Aug,191,S
2008-08-23,23-Aug,191,S
2008-08-24,24-Aug,191,S
2008-08-25,25-Aug,191,F
2008-08-26,26-Aug,191,F
2008-08-27,27-Aug,191,F
2008-08-28,28-Aug,191,F
2008-08-29,29-Aug,191,F
2008-08-30,30-Aug,191,F
2008-08-31,31-Aug,191,F
2008-09-01,1-Sep,191,F
2008-09-02,2-Sep,191,F
2008-09-03,3-Sep,191,F
2008-09-04,4-Sep,191,F
2008-09-05,5-Sep,191,F
2008-09-06,6-Sep,191,F
2008-09-07,7-Sep,191,F
2008-09-08,8-Sep,191,F
2008-09-09,9-Sep,191,F
2008-09-10,10-Sep,191,F
2008-09-11,11-Sep,191,F
2008-09-12,12-Sep,191,F
2008-09-13,13-Sep,191,F
2008-09-14,14-Sep,191,F
2008-09-15,15-Sep,191,F
2008-09-16,16-Sep,191,F
2008-09-17,17-Sep,191,F
2008-09-18,18-Sep,191,F
2008-09-19,19-Sep,191,F
2008-09-20,20-Sep,191,F
2008-09-21,21-Sep,191,F
2008-09-22,22-Sep,191,F
2008-09-23,23-Sep,191,F
2008-09-24,24-Sep,191,F
2008-09-25,25-Sep,191,F
2008-09-26,26-Sep,191,F
2008-09-27,27-Sep,191,F
2008-09-28,28-Sep,191,F
2008-09-29,29-Sep,191,F
2008-09-30,30-Sep,191,F
2008-10-01,1-Oct,191,F
2008-10-02,2-Oct,191,F
2008-10-03,3-Oct,191,F
2008-10-04,4-Oct,191,F
2008-10-05,5-Oct,191,F
2008-10-06,6-Oct,191,F
2008-10-07,7-Oct,191,F
2008-10-08,8-Oct,191,F
2008-10-09,9-Oct,191,F
2008-10-10,10-Oct,191,F
2008-10-11,11-Oct,191,F
2008-10-12,12-Oct,191,F
2008-10-13,13-Oct,191,F
2008-10-14,14-Oct,191,F
2008-10-15,15-Oct,191,F
2008-10-16,16-Oct,191,F
2008-10-17,17-Oct,191,F
2008-10-18,18-Oct,191,F
2008-10-19,19-Oct,191,F
2008-10-20,20-Oct,191,F
2008-10-21,21-Oct,191,F
2008-10-22,22-Oct,191,F
2008-10-23,23-Oct,191,F
2008-10-24,24-Oct,191,F
2008-10-25,25-Oct,191,F
2008-10-26,26-Oct,191,F
2008-10-27,27-Oct,191,F
2008-10-28,28-Oct,191,F
2008-10-29,29-Oct,191,F
2008-10-30,30-Oct,191,F
2008-10-31,31-Oct,191,F
2008-11-01,1-Nov,191,F
2008-11-02,2-Nov,191,F
2008-11-03,3-Nov,191,F
2008-11-04,4-Nov,191,F
2008-11-05,5-Nov,191,F
2008-11-06,6-Nov,191,F
2008-11-07,7-Nov,191,F
2008-11-08,8-Nov,191,F
2008-11-09,9-Nov,191,F
2008-11-10,10-Nov,191,F
2008-11-11,11-Nov,191,F
2008-11-12,12-Nov,191,F
2008-11-13,13-Nov,191,F
2008-11-14,14-Nov,191,F
2008-11-15,15-Nov,191,F
2008-11-16,16-Nov,191,F
2008-11-17,17-Nov,191,F
2008-11-18,18-Nov,191,F
